k,mean_ALG,std_ALG,mean_OPT,std_OPT,ratio_of_averages,mean_ratio,std_ratio,pass_rate_ALG_le_OPT,mean_ALG_ms,mean_OPT_ms,mean_OPT_iters,n
1,20.948298352179986,0.00563205913801055,20.948298352179986,0.00563205913801055,1.0,1.0,0.0,1.0,13.029993003001437,0.48222149489447474,1.0,200
10,21.334771702012358,0.18432273310295402,23.130852738033244,0.007383774796450177,0.922351283095255,0.9223514105905899,0.007978129240214503,1.0,1148.960747005185,3.151332001434639,6.21,200
80,22.83165806690084,0.061683655671140876,24.508953700288743,0.01354408932428426,0.9315639641781958,0.9315641825526889,0.002545132103491159,1.0,2136.546870013699,3.720272488426417,7.335,200
600,24.030375552835206,0.012743067233824979,24.69930759550856,0.0098983750425392,0.9729169718589603,0.972917108302367,0.000617273375876815,1.0,3043.056092989864,5.1037195103708655,9.09,200
2000,24.403312009500656,0.010435763825596488,24.70117618652764,0.009085892526131002,0.9879412957999367,0.9879413217718855,0.0003130542638106413,1.0,3594.666327997111,7.407086490420625,10.13,200
10000,24.615533204477163,0.009622964998573052,24.701866400146464,0.008630256545732443,0.9965049930126418,0.9965049891389063,0.00015095910981003,1.0,4328.26738149859,13.182126003084704,10.73,200
25000,24.662593960102413,0.00935885803068765,24.70144135751505,0.009268712484564281,0.9984273226468697,0.9984273252048369,9.125012393428259e-05,1.0,4840.9718955052085,16.519389488967136,10.645,200
45000,24.677415878982256,0.010354174525627056,24.700342813521402,0.01002022953277396,0.9990717969093694,0.999071792760611,5.5912226269435564e-05,1.0,5076.502864001086,15.430756006389856,10.705,200
